Wavelength,LakeMcKenzieFraserIsland1,LakeMcKenzieFraserIsland2,LakeMcKenzieFraserIsland3,HillInletatNorthernEndofWhitehaven1,HillInletatNorthernEndofWhitehaven2,HillInletatNorthernEndofWhitehaven3,WhitehavenBeach1,WhitehavenBeach2,WhitehavenBeach3,HelfireBayCapeLeGrande1,HelfireBayCapeLeGrande2,HelfireBayCapeLeGrande3,LuckyBayCapeLeGrande1,LuckyBayCapeLeGrande2,LuckyBayCapeLeGrande3,MainBrombieIsland1,MainBrombieIsland2,MainBrombieIsland3,NSWHyamsBeach11,NSWHyamsBeach12,NSWHyamsBeach13,HyamsBeach21,HyamsBeach22,HyamsBeach23,BoatHarbourTas1,BoatHarbourTas2,BoatHarbourTas3,TalkbudgeaCkQLD1,TalkbudgeaCkQLD2,TalkbudgeaCkQLD3,SqueakyBchVIC1,SqueakyBchVIC2,SqueakyBchVIC3,NTBrambyIslandBch1NEArnhemLand1,NTBrambyIslandBch1NEArnhemLand2,NTBrambyIslandBch1NEArnhemLand3,LittleBchTwoPeoplesBayWASite1WashedZone1,LittleBchTwoPeoplesBayWASite1WashedZone2,LittleBchTwoPeoplesBayWASite1WashedZone3,LittleBchTwoPeoplesBayWASite4BackBch1,LittleBchTwoPeoplesBayWASite4BackBch2,LittleBchTwoPeoplesBayWASite4BackBch3,LittleBchTwoPeoplesBayWASite5MidBch1,LittleBchTwoPeoplesBayWASite5MidBch2,LittleBchTwoPeoplesBayWASite5MidBch3,LittleBchTwoPeoplesBayWASite610-20cm1,LittleBchTwoPeoplesBayWASite610-20cm2,LittleBchTwoPeoplesBayWASite610-20cm3
413,0.523104,0.522411,0.522807,0.522114,0.523104,0.523104,0.496677,0.49727,0.496677,0.567645,0.568238,0.567942,0.580116,0.581106,0.58071,0.36741,0.366816,0.366816,0.443921,0.443921,0.442634,0.432736,0.432142,0.433132,0.346921,0.347911,0.347218,0.518353,0.518353,0.519343,0.438081,0.438081,0.437685,0.301193,0.30248,0.302183,0.43135,0.43234,0.43333,0.486185,0.487373,0.486779,0.491431,0.491728,0.491728,0.506179,0.505189,0.505189
414,0.523681,0.523087,0.523087,0.52279,0.524077,0.523681,0.497551,0.498145,0.497848,0.568913,0.569507,0.569507,0.581384,0.582374,0.582077,0.368883,0.368289,0.367992,0.445193,0.445193,0.444302,0.43391,0.433316,0.434207,0.348296,0.348593,0.348296,0.519623,0.519623,0.520514,0.438958,0.438958,0.438958,0.301975,0.303559,0.302965,0.43193,0.433217,0.433811,0.487159,0.488743,0.488149,0.492207,0.492801,0.493196,0.507251,0.50636,0.50636
415,0.524652,0.524553,0.524553,0.523761,0.525543,0.524652,0.498029,0.498029,0.499018,0.569982,0.569982,0.569982,0.582551,0.583541,0.582551,0.370156,0.370156,0.369266,0.447355,0.447256,0.446464,0.434785,0.434686,0.435676,0.350362,0.349471,0.350362,0.52099,0.52099,0.521881,0.440229,0.44013,0.44013,0.303647,0.304538,0.304538,0.43241,0.434191,0.434191,0.48823,0.489121,0.489022,0.493575,0.493575,0.494466,0.508025,0.507035,0.507134
416,0.526031,0.525338,0.525338,0.525734,0.526823,0.526031,0.499111,0.499111,0.500001,0.570766,0.570766,0.570766,0.583434,0.584919,0.584028,0.371438,0.371438,0.371834,0.448042,0.447349,0.447844,0.436066,0.435472,0.436957,0.351347,0.351842,0.351347,0.521874,0.522468,0.522666,0.441807,0.441213,0.44052,0.305029,0.305919,0.305919,0.434384,0.436066,0.436066,0.490005,0.490203,0.48961,0.495152,0.495152,0.49535,0.509503,0.508018,0.508711
417,0.526418,0.525626,0.526022,0.526418,0.527605,0.526814,0.500092,0.500092,0.500884,0.572142,0.571746,0.571746,0.584414,0.585601,0.585205,0.372718,0.372718,0.373906,0.448727,0.448628,0.448727,0.437642,0.436455,0.438137,0.35243,0.352924,0.35243,0.522954,0.523449,0.523746,0.442294,0.442195,0.4417,0.306904,0.307003,0.3073,0.43596,0.437246,0.437246,0.490789,0.491086,0.490294,0.49643,0.496034,0.495638,0.509989,0.508999,0.509494
418,0.526616,0.526022,0.526814,0.526913,0.528299,0.527408,0.501082,0.500884,0.501676,0.573429,0.572736,0.572637,0.585404,0.586196,0.586097,0.374005,0.374005,0.375193,0.449618,0.450113,0.44942,0.439028,0.437742,0.439226,0.353519,0.353519,0.353519,0.524142,0.524142,0.524835,0.442492,0.443284,0.442987,0.308587,0.307993,0.308686,0.437247,0.438138,0.438138,0.491185,0.491878,0.491284,0.497321,0.496628,0.495936,0.510187,0.510187,0.510187
419,0.527506,0.527407,0.528199,0.528792,0.529683,0.528298,0.502368,0.501675,0.502467,0.574021,0.573922,0.573329,0.586491,0.587283,0.58659,0.375489,0.375489,0.375093,0.451398,0.450805,0.450112,0.439225,0.438928,0.440413,0.354904,0.354904,0.354904,0.52523,0.52523,0.525328,0.444075,0.444768,0.443481,0.309378,0.309873,0.309972,0.437741,0.439126,0.439126,0.492372,0.492471,0.492966,0.497716,0.497617,0.497518,0.511572,0.511572,0.511572
420,0.528888,0.528888,0.529185,0.529877,0.530669,0.529976,0.502859,0.502958,0.503255,0.574611,0.575007,0.574611,0.587477,0.588566,0.587873,0.377367,0.378159,0.376674,0.452484,0.452187,0.451494,0.440806,0.440806,0.441894,0.35599,0.356781,0.356386,0.526314,0.526314,0.527007,0.445457,0.445754,0.445061,0.311157,0.311058,0.311454,0.43942,0.440014,0.44041,0.493655,0.493655,0.494051,0.498306,0.498306,0.499098,0.512954,0.512558,0.512558
421,0.530055,0.529858,0.529858,0.530748,0.531342,0.531342,0.503434,0.504028,0.504226,0.575381,0.575876,0.575678,0.588643,0.589434,0.589137,0.378837,0.380025,0.37854,0.453259,0.453259,0.452566,0.442274,0.442076,0.442769,0.356966,0.358154,0.357461,0.527086,0.527086,0.528274,0.446529,0.446529,0.446331,0.312531,0.311838,0.312531,0.441086,0.441383,0.441977,0.495022,0.494824,0.494824,0.499277,0.499277,0.500465,0.514221,0.513726,0.513726
422,0.530738,0.530144,0.530144,0.531431,0.532025,0.532025,0.504117,0.50481,0.505404,0.576558,0.576657,0.576063,0.590215,0.589621,0.590215,0.379424,0.380116,0.380018,0.453745,0.453745,0.453052,0.44276,0.442166,0.44276,0.358048,0.358741,0.358048,0.527472,0.527472,0.528066,0.447213,0.447213,0.44662,0.312822,0.312228,0.312822,0.442463,0.44375,0.44375,0.496299,0.495705,0.495705,0.500851,0.500851,0.501544,0.515201,0.515201,0.515201
423,0.531319,0.530627,0.530627,0.532309,0.533398,0.532903,0.50559,0.505788,0.506085,0.577435,0.577435,0.577237,0.590894,0.591092,0.590894,0.381493,0.381295,0.381691,0.45512,0.45512,0.454922,0.44463,0.443541,0.44463,0.359425,0.360118,0.360316,0.52845,0.52845,0.528747,0.448094,0.448489,0.447896,0.314101,0.314299,0.314497,0.444135,0.444927,0.445323,0.497376,0.496782,0.497574,0.502126,0.502522,0.502324,0.516178,0.516178,0.516178
424,0.531787,0.531293,0.531293,0.53347,0.534162,0.533865,0.506653,0.506653,0.506851,0.578297,0.578297,0.578,0.591754,0.592348,0.591754,0.383453,0.383057,0.383255,0.456482,0.456482,0.456482,0.446092,0.445102,0.446092,0.36099,0.361782,0.36198,0.52961,0.529808,0.530006,0.449456,0.449852,0.449258,0.315569,0.315965,0.315965,0.445597,0.446389,0.446785,0.498143,0.498044,0.498736,0.503387,0.503684,0.503387,0.517241,0.517241,0.517439
425,0.532354,0.53186,0.53186,0.53463,0.53463,0.53463,0.50732,0.50732,0.507913,0.57896,0.57896,0.578366,0.592615,0.593209,0.592615,0.385215,0.385215,0.384621,0.457943,0.457943,0.457943,0.447158,0.446564,0.447158,0.362456,0.363643,0.36305,0.530573,0.531167,0.531662,0.451017,0.451017,0.450522,0.317038,0.317038,0.317038,0.44696,0.448048,0.448147,0.49881,0.499404,0.499404,0.504549,0.504549,0.504549,0.518204,0.518204,0.518699
426,0.532833,0.532635,0.532635,0.53501,0.535406,0.535406,0.507899,0.507899,0.508393,0.579438,0.579438,0.578943,0.59329,0.593785,0.592895,0.38649,0.38649,0.385995,0.458722,0.458722,0.458722,0.448035,0.447441,0.448035,0.363633,0.364325,0.364128,0.531349,0.531844,0.532042,0.451399,0.451399,0.451696,0.318216,0.318216,0.31782,0.448233,0.448926,0.449322,0.499389,0.499884,0.499884,0.505227,0.505227,0.505227,0.51908,0.51908,0.519179
427,0.53382,0.533622,0.533622,0.536095,0.536392,0.536392,0.508588,0.508786,0.509281,0.580226,0.580226,0.579929,0.593979,0.594474,0.59388,0.387774,0.387774,0.387774,0.459708,0.459708,0.459708,0.449121,0.448626,0.449319,0.364818,0.365313,0.365511,0.532434,0.532731,0.532731,0.452485,0.452485,0.452485,0.319203,0.319698,0.319203,0.449814,0.450605,0.450902,0.500771,0.501068,0.501266,0.506708,0.506708,0.506708,0.520759,0.520759,0.520462
428,0.534806,0.53441,0.53441,0.537477,0.537576,0.537477,0.509278,0.509772,0.510267,0.581113,0.581212,0.581113,0.594668,0.595163,0.595163,0.389157,0.389157,0.389453,0.460893,0.460893,0.460794,0.450404,0.449811,0.4508,0.366102,0.366498,0.366993,0.533619,0.53352,0.533717,0.453868,0.453868,0.453373,0.320389,0.32118,0.320883,0.451493,0.452482,0.452482,0.502252,0.50245,0.502846,0.508288,0.508288,0.508387,0.522339,0.522438,0.522042
429,0.535198,0.535099,0.535099,0.538365,0.53876,0.538365,0.510363,0.510858,0.510957,0.581802,0.582198,0.581802,0.595555,0.595951,0.595951,0.390737,0.390737,0.390441,0.462176,0.462176,0.46178,0.451787,0.450896,0.451787,0.368079,0.368079,0.368178,0.534506,0.53411,0.534901,0.455052,0.455052,0.454557,0.322267,0.322366,0.322762,0.453172,0.454162,0.454162,0.50314,0.503931,0.50403,0.509275,0.509275,0.50967,0.523028,0.523523,0.523424
430,0.536085,0.535788,0.535788,0.538955,0.539647,0.539251,0.511448,0.511646,0.511646,0.582787,0.582688,0.582787,0.596739,0.596936,0.596739,0.392615,0.392911,0.391922,0.463558,0.463558,0.463162,0.45307,0.452081,0.45307,0.369461,0.369461,0.369659,0.535195,0.535294,0.535986,0.455939,0.456236,0.455742,0.323551,0.323848,0.324046,0.454752,0.455445,0.455643,0.504423,0.504818,0.504818,0.510656,0.510359,0.510557,0.524113,0.524311,0.524607
